162,163,161,161,162,163,163,163,161,161,163,161,162,161,161,161,164,163,162,162,163,163,162,162,162,161,161,162,162,164,163,162,161,161,161,163,162,162,208,161,162,161,163,161,161,162,160,163,161,162,164,163,162,163,162,162,162,161,161,162,163,162,162,162,162,161,163,162,162,161,162,162,161,161,161,163,163,161,163,161,163,163,162,162,161,163,163,163,160,162,163,164,165,164,163,163,165,163,164,161,162,162,162,164,162,162,163,163,164,163,164,163,162,163,163,163,162,162,164,160,162,162,162,162,161,162,162,163,161,162,162,161,163,163,163,162,162,162,161,163,162,161,163,160,163,162,162,162,162,161,163,160,162,162,163,162,162,161,161,162,163,162,163,160,163,163,162,161,162,162,163,162,161,162,162,161,162,161,162,161,162,163,162,165,163,163,160,162,162,163,162,163,164,163,162,162,162,162,162,162,162,162,160,161,163,161,163,163,162,161,161,163,162,162,162,162,171,161,163,163,161,163,162,163,163,162,162,163,162,161,164,163,162,161,162,162,162,160,163,162,163,161,162,163,161,161,163,162,162,161,163,162,162,161,162,160,163,164,162,161,162,163,163,161,162,162,161,163,161,161,162,162,163,164,162,162,163,163,164,162,163,161,163,165,164,163,160,163,162,163,162,163,161,163,163,162,162,162,161,162,163,163,162,162,163,162,162,162,163,163,162,161,161,164,162,162,161,162,162,162,162,162,163,162,162,162,163,161,163,162,161,161,161,161,163,162,162,162,162,160,162,163,162,161,163,163,162,163,163,162,163,161,163,163,163,161,162,161,162,162,161,160,162,161,161,161,162,161,162,163,161,163,162,162,162,162,163,162,163,162,163,163,162,162,161,161,162,162,162,163,162,162,162,162,162,163,161,161,161,162,163,162,273,163,162,161,162,162,163,163,162,163,162,162,161,162,160,151,163,162,162,161,162,163,161,161,162,162,162,163,162,161,162,162,161,163,162,162,161,162,162,163,162,161,161,163,163,163,161,162,162,162,163,163,162,162,163,163,161,163,163,163,162,162,163,161,162,164,161,161,163,161,163,163,163,163,162,160,162,163,163,161,163,163,160,163,162,163,162,163,163,162,161,162,161,162,163,162,162,163,161,162,163,161,162,162,162,163,162,162,161,162,161,163,163,161,162,161,161,160,162,162,160,162,162,162,163,165,162,162,161,162,162,162,163,162,160,162,162,162,164,162,161,161,163,163,163,162,163,162,162,162,162,163,162,163,162,162,161,162,162,163,162,161,163,162,162,162,162,163,161,163,163,161,161,160,162,162,162,162,161,162,162,163,163,161,162,163,162,162,163,163,162,164,161,163,161,164,162,161,161,161,163,160,160,161,161,160,163,162,161,163,163,163,161,161,162,162,162,162,161,161,162,162,162,161,162,163,161,161,162,161,161,162,162,161,161,163,162,164,163,162,163,163,164,163,163,162,162,161,162,163,161,161,162,161,161,162,161,162,163,161,163,162,161,161,162,161,162,162,162,160,162,163,163,163,162,163,161,163,161,162,162,161,161,163,163,162,163,162,164,162,162,161,162,162,162,162,161,162,162,161,162,163,162,164,163,162,161,161,161,161,161,163,162,162,162,167,161,163,163,162,161,164,162,163,163,171,162,161,163,162,162,162,162,161,161,161,161,161,162,163,163,162,163,163,160,161,163,162,163,162,161,161,163,163,162,161,162,161,163,162,163,161,162,161,164,161,163,163,163,162,162,162,161,162,162,161,163,162,162,162,162,161,162,162,164,164,160,162,162,163,162,161,163,163,163,162,161,162,162,161,162,161,162,163,163,162,163,162,163,161,162,161,162,162,162,161,162,163,165,164,163,163,164,162,162,163,163,162,163,163,161,160,163,162,162,161,162,162,162,161,162,162,160,162,161,162,162,162,161,162,161,162,163,161,163,162,162,161,161,162,162,162,160,163,162,162,162,161,161,162,162,162,162,162,163,162,161,163,162,163,162,161,163,163,162,161,161,162,162,164,162,162,162,162,162,163,162,161,163,162,161,162,163,161,163,162,161,163,161,162,162,162,161,162,162,161,162,163,161,161,162,160,161,162,163,161,163,162,161,162,161,161,162,163,160,163,162,163,163,160,162,161,162,161,162,161,162,162,161,163,162,163,162,161,164,163,160,161,162,163,160,162,163,162,163,162,163,161,162,164,163,162,159,162,163,163,161,162,161,162,163,162,162,161,162,162,161,162,162,162,160,161,161,161,162,163,161,162
315,317,318,316,317,316,317,318,317,318,317,317,316,319,316,317,317,314,316,316,316,317,316,316,315,317,315,314,315,316,316,317,315,316,316,316,315,314,316,316,315,314,316,317,315,317,316,315,315,317,316,316,315,314,316,316,315,316,317,316,316,316,316,315,315,315,316,318,318,316,316,316,315,316,315,318,315,316,315,316,315,317,315,315,315,318,315,317,314,315,316,316,316,317,318,317,317,318,318,317,316,316,318,316,315,316,316,317,316,316,315,317,315,315,316,316,315,316,316,315,314,316,317,316,316,315,316,315,315,316,316,317,316,315,317,317,315,317,315,316,314,316,316,318,317,315,315,317,315,317,315,315,315,316,315,317,315,316,316,316,318,316,317,315,315,315,317,317,316,316,317,317,316,317,314,315,315,316,315,316,316,316,316,314,316,316,317,317,318,319,317,317,316,316,317,317,316,318,316,316,317,317,315,314,317,315,318,317,315,317,316,317,316,315,316,315,317,317,315,313,316,316,318,317,316,314,317,316,316,316,316,316,318,315,316,315,316,316,317,315,314,317,316,313,316,316,317,315,314,315,316,315,314,370,316,315,316,318,316,318,315,316,316,314,317,315,314,314,316,316,317,316,316,316,316,317,317,315,315,315,320,319,318,316,317,316,314,316,316,315,315,316,319,316,316,318,315,316,316,317,316,314,317,316,314,315,317,315,316,316,315,315,317,316,315,315,316,315,315,315,316,316,315,317,316,316,316,317,315,314,315,315,316,317,315,317,316,317,316,316,316,316,314,315,317,317,315,315,316,316,315,315,317,315,315,317,317,316,317,316,317,316,317,315,315,315,317,315,316,316,315,317,316,317,319,317,319,316,317,316,317,316,316,316,315,319,316,314,315,316,315,314,315,315,317,317,316,316,316,317,316,315,317,316,317,315,316,315,316,314,315,315,316,316,316,317,315,314,317,317,316,316,314,316,316,315,316,316,318,316,316,319,315,316,317,314,315,315,316,416,318,316,316,316,315,315,316,317,316,316,315,317,319,314,314,316,316,316,316,318,317,316,316,317,317,315,318,320,318,318,319,315,317,319,319,318,319,316,316,316,316,315,318,316,315,317,315,315,318,315,314,316,316,316,316,318,317,318,316,317,316,317,315,315,315,316,317,316,315,316,314,315,316,316,315,316,314,315,316,316,316,318,315,317,317,315,315,316,316,316,325,316,317,317,316,317,317,314,313,316,317,316,314,318,315,316,316,315,315,314,315,314,315,319,317,317,316,316,318,317,320,320,320,318,315,314,317,317,318,316,317,319,316,317,317,315,316,316,318,316,317,316,316,316,314,316,316,316,315,317,315,317,315,317,316,315,315,316,318,317,316,316,314,315,314,316,314,317,316,315,315,316,318,316,315,316,317,316,315,316,315,315,315,315,317,399,318,315,316,316,315,316,316,315,316,318,316,314,314,315,316,315,317,316,316,317,316,317,317,314,317,315,318,318,316,319,319,315,316,317,317,318,318,316,318,315,315,315,316,315,316,317,316,317,317,314,318,318,316,316,317,315,316,316,317,315,316,315,316,316,315,315,315,315,315,316,315,315,315,315,317,317,318,315,317,318,317,316,316,319,315,317,317,317,316,316,316,317,316,317,316,315,316,316,316,317,314,314,317,314,316,316,316,315,315,316,315,313,315,316,316,316,314,314,317,316,319,317,319,319,316,316,316,318,317,317,317,317,316,317,315,316,317,319,316,316,317,315,316,318,316,316,317,317,316,315,315,315,317,316,317,315,318,316,317,316,317,315,317,317,315,316,317,314,315,315,316,314,316,316,318,315,315,315,316,317,316,316,315,318,318,333,315,315,317,315,317,316,315,315,317,317,316,317,316,315,315,315,316,314,314,315,317,314,317,316,316,318,317,321,316,317,317,318,314,317,318,316,317,316,317,317,316,317,313,316,315,316,316,315,315,318,315,315,316,315,315,313,316,315,317,315,315,317,316,314,316,315,316,314,315,317,314,317,316,313,316,317,317,316,316,315,316,316,314,318,315,315,315,318,315,315,316,317,315,317,316,315,316,315,318,316,316,316,315,316,315,315,316,317,315,316,315,316,316,315,315,316,316,316,317,318,320,317,318,318,315,321,318,316,319,318,317,316,315,316,319,315,316,315,318,316,317,316,317,316,316,316,316,315,317,316,319,316,318,316,317,315,317,316,316,315,316,316,315,315,315,315,316,316,316,316,318,315,316,316,315,316,316,316,315,315,317,315,316,317,316,316,316,318
475,475,473,473,472,471,472,472,473,472,472,475,473,475,472,475,475,476,476,473,474,473,474,473,475,472,473,472,473,476,473,475,473,476,474,473,472,473,475,473,473,472,472,472,472,472,475,474,472,474,472,472,473,475,474,473,473,471,472,475,474,475,476,473,475,472,474,474,474,474,474,472,473,473,475,475,476,474,475,476,476,473,472,476,475,473,472,476,477,474,475,472,475,474,472,473,476,473,475,474,474,473,475,473,472,473,476,474,473,472,475,472,473,475,475,475,476,474,475,474,473,473,476,474,471,474,474,470,471,472,473,474,472,473,473,473,473,474,473,472,473,475,479,479,477,473,476,476,475,476,472,474,475,474,475,474,474,473,473,474,475,474,474,476,472,475,475,474,476,475,472,475,474,474,473,474,474,475,473,474,472,470,474,473,473,475,471,474,472,474,476,472,472,472,472,474,472,474,472,474,471,476,474,477,479,475,475,473,472,473,473,476,476,474,476,475,473,475,473,473,474,473,473,473,472,472,474,471,472,474,475,473,475,473,472,473,473,474,471,473,472,474,475,472,474,476,473,475,473,474,474,472,472,471,473,471,471,471,472,474,474,471,475,473,473,474,478,479,476,475,476,474,474,473,474,472,474,473,475,473,474,471,472,472,473,472,471,472,473,474,474,472,472,472,472,474,472,474,472,474,472,472,472,473,473,474,472,470,473,475,472,477,474,474,472,473,473,472,472,474,474,475,474,472,472,474,474,474,473,480,475,473,474,473,473,475,475,473,473,474,472,472,471,474,473,474,473,473,472,473,477,474,474,475,472,474,475,475,475,473,472,473,473,475,475,472,473,474,472,475,473,588,472,474,474,474,474,474,473,472,472,473,473,471,474,474,471,472,472,475,478,472,473,473,475,474,473,474,474,475,475,474,475,472,473,475,473,473,473,474,472,473,470,474,473,472,472,472,472,474,475,473,473,472,475,473,474,473,472,473,472,471,472,475,475,473,471,472,473,473,472,472,472,474,472,473,474,473,472,472,473,474,476,475,474,473,474,474,474,476,477,473,474,473,473,474,474,474,475,474,474,472,473,473,475,474,475,472,472,472,474,473,473,473,473,472,473,472,475,473,474,472,473,472,470,473,473,473,470,473,473,473,472,473,472,472,473,478,474,475,473,472,476,474,479,478,477,478,475,476,476,474,472,472,474,475,475,473,474,473,472,472,472,473,475,473,474,475,472,473,475,475,472,475,475,473,473,471,472,472,474,473,474,473,475,474,473,472,480,476,473,473,473,474,472,476,474,474,472,471,474,473,473,475,475,474,476,477,477,478,475,475,475,476,473,473,476,476,474,475,471,475,472,471,472,471,474,476,473,475,473,474,473,475,473,475,472,471,472,475,473,473,474,474,474,473,475,474,474,473,456,476,473,474,473,474,474,474,473,473,473,472,472,473,473,470,474,476,477,474,476,472,472,475,474,472,473,475,473,475,474,472,473,473,474,472,473,475,474,472,474,472,474,471,472,473,473,472,472,474,473,476,473,473,473,474,474,472,472,474,477,474,476,471,473,473,474,473,471,474,475,473,472,473,472,474,472,472,472,474,473,479,473,473,474,473,472,474,475,476,475,473,473,474,473,474,475,472,474,472,474,472,474,473,473,474,473,472,474,474,473,473,474,474,472,471,472,473,473,473,472,474,471,475,581,472,472,472,474,467,473,472,471,472,473,472,473,473,475,474,474,473,476,479,476,473,473,472,473,475,475,474,475,474,472,474,474,476,474,471,473,472,473,472,471,474,472,473,475,475,472,473,471,472,473,474,472,472,473,475,472,472,474,471,473,473,472,476,470,474,475,474,472,472,472,472,475,472,473,470,473,474,474,477,473,478,476,480,473,474,483,474,473,476,475,472,476,474,474,473,474,472,473,474,476,474,475,475,474,472,472,475,474,475,474,472,473,473,471,472,471,474,475,474,474,472,472,473,474,472,475,472,475,475,474,473,476,473,476,476,474,472,473,473,474,476,477,481,477,478,479,481,475,474,478,474,475,474,475,475,475,475,475,475,473,479,474,475,475,474,476,475,475,476,476,476,475,478,477,476,477,476,476,472,476,475,475,474,475,484,473,475,473,471,474,474,476,477,473,475,475,474,473,473,476,473,475,475,479,477,477,475,475,473,472,474,475,475,474,475,472,475,474,475,472,472,473,472,475,473,472,475,474,475,474,475,475,473,473,473,475,474,473,472,473,474,474,473,473,473,473,475,475,475,474,472,472,475,472,473
638,636,636,636,634,635,634,633,638,641,635,636,638,634,633,633,632,635,636,634,635,634,634,637,633,638,635,634,636,635,635,634,634,633,635,632,633,635,635,638,635,637,631,637,636,639,636,639,634,634,634,637,631,635,640,639,636,636,636,634,636,636,635,634,635,633,636,636,633,634,636,635,632,637,635,634,634,634,637,638,631,633,635,637,635,637,636,746,635,635,635,633,633,635,635,636,632,633,633,635,637,638,639,636,633,636,636,636,642,632,634,635,635,635,635,634,636,632,635,634,634,633,636,634,635,637,639,634,634,634,633,636,632,633,638,634,635,636,639,634,637,634,633,634,637,634,634,639,640,638,641,640,637,636,633,634,634,636,632,638,634,637,636,639,633,636,637,634,635,637,634,635,637,635,631,636,635,634,632,633,693,635,633,633,637,632,636,634,637,633,636,636,636,635,639,636,636,632,635,633,637,632,635,634,635,633,635,636,635,636,636,634,634,635,635,637,633,637,636,635,634,636,634,636,632,634,636,636,635,633,638,636,635,636,635,635,634,636,637,636,638,640,636,635,637,637,641,636,632,636,636,635,636,633,634,632,639,635,636,634,636,635,635,635,634,634,636,635,631,634,635,634,635,635,635,634,636,636,632,633,633,635,634,635,631,637,636,641,641,636,635,636,635,636,633,634,633,636,633,634,634,635,632,635,633,635,636,633,635,634,631,635,632,634,634,636,635,632,633,636,634,633,634,635,633,634,634,633,636,633,634,633,635,641,640,635,633,635,636,637,640,640,634,635,636,635,635,634,646,635,633,633,631,637,635,635,632,634,634,633,634,635,635,634,633,635,636,635,633,631,634,633,635,635,634,634,633,632,634,639,637,640,638,636,638,636,636,632,632,632,635,635,635,634,633,635,634,635,635,635,634,635,636,632,633,635,634,635,632,633,634,643,637,634,634,636,635,635,636,637,637,634,633,634,637,636,640,637,633,633,635,636,632,631,633,635,637,633,634,634,632,634,634,637,633,634,634,633,634,635,636,634,634,633,635,634,633,637,638,634,634,636,637,634,637,635,633,635,634,633,634,635,638,638,635,633,635,634,634,635,634,635,635,636,636,636,634,633,635,633,632,635,636,636,636,631,632,635,636,632,634,635,633,633,634,634,634,634,632,636,636,635,636,631,635,636,635,636,638,637,637,634,636,637,634,633,635,633,634,636,634,634,635,635,632,633,637,632,633,632,633,636,635,633,633,632,636,634,634,635,633,745,636,636,631,635,633,633,637,636,633,635,636,634,636,652,641,638,635,631,633,635,632,633,636,636,635,634,633,636,636,635,634,638,635,634,634,633,636,636,638,633,637,633,635,633,632,638,639,635,636,635,635,633,633,635,633,633,635,634,636,635,645,641,637,637,640,633,634,631,633,634,636,633,636,635,637,635,635,632,635,637,638,634,634,636,635,637,635,636,634,634,636,635,755,633,635,634,634,635,634,635,634,637,633,634,636,635,640,639,636,635,638,635,634,633,638,635,636,635,634,635,632,632,635,634,633,630,632,633,633,633,635,633,634,634,636,634,637,632,636,635,635,636,635,633,636,632,633,632,634,633,635,631,636,638,634,633,633,633,639,634,634,634,632,633,637,635,636,637,638,634,632,633,634,636,634,635,633,633,634,635,633,635,635,632,633,750,632,636,634,636,635,636,633,635,634,633,635,635,637,636,637,635,636,636,636,636,635,636,636,635,636,633,634,634,635,631,633,636,633,634,635,635,635,632,635,636,635,633,634,634,634,636,635,633,634,634,633,633,636,633,635,633,633,632,633,635,639,634,635,635,635,633,638,633,631,633,634,632,633,631,633,635,634,634,631,633,634,633,633,637,634,634,635,631,631,631,636,635,688,635,633,633,632,634,634,635,632,633,633,635,631,635,639,636,636,640,637,635,636,634,635,633,636,631,637,635,631,633,635,633,634,635,633,632,635,635,633,632,632,632,633,634,632,642,634,635,634,631,633,633,635,635,634,634,633,631,632,632,636,636,635,633,634,636,636,632,634,632,632,634,633,635,632,635,636,634,633,632,634,632,633,637,636,632,632,636,637,633,634,634,633,657,635,635,635,635,636,632,632,633,632,632,635,635,633,637,636,636,636,638,636,636,633,634,633,635,635,635,635,636,635,632,636,631,635,635,636,633,634,636,635,632,635,634,634,634,630,635,636,634,633,634,634,635,633,632,634,633,633,635,636,639,637,635,636,634,632,634,633,632,633,635,634,633,637,635,635,635
797,797,796,795,796,798,798,797,797,796,796,796,795,796,794,798,794,798,798,797,795,795,797,800,804,799,797,798,799,798,797,798,796,797,796,797,795,792,798,795,794,794,797,796,796,796,794,797,798,796,796,795,798,796,800,794,796,796,795,796,802,802,801,802,802,797,797,796,796,796,796,794,796,798,800,797,795,797,798,795,796,796,794,796,795,795,800,799,794,797,798,796,796,797,795,795,796,799,800,795,795,797,797,795,796,798,796,798,799,797,799,798,796,799,795,796,799,799,799,796,795,797,797,796,798,797,796,795,796,793,798,799,794,798,798,803,800,797,800,797,798,796,797,798,803,800,800,799,803,800,796,795,797,797,794,797,799,796,798,797,906,799,798,797,796,796,797,799,797,797,803,801,802,798,795,799,797,797,796,796,796,797,797,797,797,795,795,797,799,791,797,795,796,799,799,798,798,797,797,797,797,797,797,800,799,795,795,796,801,802,800,798,796,798,795,799,797,796,800,797,795,799,799,794,797,795,795,798,797,795,795,798,794,796,907,797,801,799,805,797,797,795,797,795,800,807,803,806,802,800,800,795,796,795,798,797,798,798,797,800,799,798,796,796,811,795,798,795,799,799,811,800,796,796,795,796,796,796,800,800,798,797,804,800,797,796,800,799,798,794,796,796,798,797,798,799,798,796,799,799,800,800,799,797,795,794,796,798,900,799,796,796,796,797,794,795,801,796,799,802,798,797,794,796,798,795,794,796,796,799,798,794,797,796,800,796,795,797,799,800,796,799,792,797,795,798,797,797,799,795,800,798,797,797,800,796,810,804,796,797,798,796,795,796,797,796,800,796,795,798,797,797,797,797,798,796,795,796,796,798,797,796,904,799,797,796,797,797,796,795,796,799,798,803,806,801,797,796,800,796,799,801,799,800,798,798,798,799,798,798,797,799,798,796,796,799,795,796,798,798,801,797,797,797,794,801,794,808,797,801,803,803,803,801,803,798,797,800,795,798,799,799,3209,3272,3206,3836,3268,3281,3203,3207,3272,3276,3282,3203,3208,3215,3210,3353,3272,3203,3271,3209,3275,3836,3211,3276,3278,3272,3269,3340,3209,3206,3281,3210,3278,3279,3200,3282,3281,3286,3207,3764,3211,3216,3279,3275,3280,3265,3208,3267,3207,3277,3210,3212,3273,3201,3267,3208,3212,3766,3208,3273,3282,3205,3274,3212,3205,3205,3268,3206,3209,3206,3280,3279,3213,3275,3209,3761,3214,3276,3277,3282,3274,3290,3271,3213,3282,3246,3208,3279,3284,3272,3279,3277,3212,3599,3347,3271,3280,3212,3280,3265,3281,3279,3207,3206,3214,3282,3282,3277,3269,3207,3279,3287,3276,3224,3285,3278,3277,3280,3206,3210,3209,3212,3266,3272,3279,3199,3209,3265,3136,3193,3211,3201,3273,3209,3278,3204,3285,3200,3283,3130,3269,3284,3206,3207,3271,3207,3279,3201,3279,3280,3272,3278,3268,3204,3212,3205,3214,3199,3268,3214,3215,3200,3268,3209,3269,3267,3211,3279,3275,3269,3288,3280,3281,3273,3280,3272,3273,3284,3282,3201,3210,3284,3272,3270,3278,3203,3207,3222,3271,3274,3203,3203,3212,3200,3268,3276,3204,3272,3264,3203,3204,3204,3285,3211,3270,3217,3272,3212,3342,3205,3205,3215,3265,3216,3207,3274,3341,3276,3278,3276,3520,3282,3207,3268,3210,3207,3275,3279,3272,3215,3280,3272,3261,3212,3203,3277,3291,3207,3438,3278,3205,3275,3272,3280,3281,3214,3272,3201,3209,3270,3208,3281,3287,3268,3272,3208,3761,3270,3274,3277,3274,3273,3203,3203,3276,3271,3201,3283,3202,3195,3280,3204,3279,3271,3833,3214,3211,3207,3200,3267,3274,3137,3202,3128,3210,3269,3215,3189,2969,2723,3102,3279,3450,3211,3266,3280,3212,3259,3214,3266,3266,3260,3266,3212,3270,3200,3276,3213,3212,3279,3200,3267,3214,3286,3215,3266,3276,3220,3276,3348,3285,3282,3286,3212,3275,3282,3268,3274,3214,3274,3212,3355,3264,3277,3272,3215,3279,3282,3275,3216,3274,3135,3274,3198,3275,3275,3213,3203,3280,3214,3209,3214,3272,3208,3269,3273,3203,3215,3282,3284,3212,3280,3279,3279,3211,3201,3221,3271,3277,3199,3280,3204,3270,3211,3206,3267,3208,3276,3282,3269,3278,3276,3279,3271,3276,3206,3273,3280,3278,3277,3281,3277,3276,3282,3282,3207,3282,3204,3272,3279,3205,3506,3215,3204,3278,3266,3275,3199,3274,3272,3273,3270,3268,3277,3212,3205,3268,3281,3200,3601,3346,3273,3279,3280,3268,3209,3214,3272,3196,3285,3282,3285,3215,3275,3200,3272,3279,3767,3263,3278,3207,3205,3207,3267,3202,3279,3204,3269,3206,3281,3208,3214,3203,3275,3277,3825,3214,3272,3284,3270,3345,3289,3208,3214,3276,3278,3266,3281,3277,3270,3270,3215,3211,3764,3276,3279,3214,3202,3212,3269,3282,3276,3276,3278,3278,3275,3214,3270,3207,3278,3204,3829,3265,3208,3270,3274,3204,3267,3210,3273,3273,3209,3214,3279,3216,3213,3214,3211,3201,3771,3267,3281,3202,3213,3272,3342,3212,3273,3279,3276,3276,3205,3272,3273,3205,3209,3343,3826,3279,3265,3271,3267,3282,3277,3203,3276,3277,3217,3271,3204,3351,3273,3274,3270,3272,3743,3272,3282,3210,3201,3205,3272,3207,3280,3208,3274,3206,3277
