160,161,162,158,161,160,159,160,161,161,160,161,161,161,160,160,158,159,161,162,162,159,159,160,159,162,161,160,161,162,160,160,160,162,159,160,161,160,226,161,160,160,160,161,160,159,161,162,159,160,158,160,161,154,160,160,160,160,158,160,160,160,160,161,160,161,160,161,160,161,160,162,162,160,160,160,161,160,159,161,160,159,162,161,161,160,161,160,160,161,161,161,162,162,160,162,160,162,161,163,160,160,162,160,161,161,161,161,159,161,161,161,162,162,161,160,161,160,160,161,159,159,160,158,161,160,161,160,162,161,160,160,160,158,161,160,160,162,161,160,160,162,160,160,159,161,160,160,162,161,161,160,160,160,160,160,160,160,163,161,159,160,161,161,160,162,161,162,161,160,161,161,161,160,159,160,160,161,159,159,161,159,160,160,160,160,162,161,161,159,161,161,161,160,160,162,161,161,160,160,160,160,160,162,160,160,161,159,160,162,160,160,159,161,160,161,162,161,160,161,161,161,160,160,160,161,160,161,160,162,158,159,161,162,158,161,161,160,159,160,162,161,161,161,161,161,161,160,161,160,160,160,160,162,160,160,160,160,161,160,159,160,160,161,158,161,162,161,162,159,158,160,162,163,161,162,161,163,161,161,160,160,162,161,160,161,160,161,160,161,160,160,161,160,162,161,161,161,162,161,160,160,160,160,160,160,160,161,160,160,161,161,160,160,160,160,160,159,161,160,161,160,160,160,160,160,160,160,159,159,160,160,161,158,160,160,162,161,160,161,160,159,161,161,160,163,160,160,160,160,162,162,162,161,161,159,160,160,159,160,161,161,161,163,160,159,161,161,160,161,160,161,161,160,159,161,161,160,161,163,160,161,162,160,160,162,161,163,160,161,161,160,160,160,160,160,160,160,158,160,160,161,163,160,163,162,160,160,160,160,160,161,160,160,160,160,159,159,161,161,162,161,160,160,161,161,159,160,160,160,160,159,161,160,161,162,160,160,161,161,161,162,159,159,161,159,158,160,162,162,160,161,161,161,160,160,161,162,163,164,162,160,161,160,160,160,160,159,160,160,160,162,161,160,160,161,160,161,161,160,161,158,159,162,163,162,160,160,160,160,160,160,161,161,158,158,159,160,160,160,160,161,160,161,160,161,160,160,159,161,161,160,159,160,160,161,159,161,161,161,159,160,161,160,161,160,161,160,161,159,160,160,161,161,161,160,160,160,159,160,160,161,161,160,161,160,160,160,161,160,161,160,162,161,161,161,160,162,161,160,161,160,162,159,160,159,162,159,160,161,161,160,160,161,160,159,162,162,160,160,161,161,160,160,161,162,160,161,160,162,159,160,161,161,161,160,161,161,159,160,160,160,161,162,160,159,161,159,159,159,161,160,161,159,161,162,158,161,161,160,160,161,161,160,161,160,160,160,160,159,161,160,160,160,161,161,161,161,162,161,162,162,161,161,160,160,159,161,158,161,160,161,161,161,161,160,160,160,161,158,160,161,161,160,161,161,162,159,161,160,160,160,159,160,163,160,161,161,161,161,162,161,161,160,159,160,160,162,161,161,163,160,160,160,161,161,160,160,160,160,159,160,160,159,161,160,162,162,160,160,160,159,162,159,161,160,160,161,161,160,160,161,161,162,162,161,162,161,161,160,160,160,159,160,161,160,160,161,160,171,161,162,160,162,160,161,160,160,161,161,160,162,160,159,162,160,159,160,161,160,160,160,160,161,161,159,159,257,159,162,160,160,161,160,162,163,161,160,159,161,160,161,162,162,161,159,160,159,162,162,160,160,161,161,161,161,160,159,160,162,160,159,160,161,160,160,161,160,160,159,159,160,161,159,160,160,160,160,161,160,161,163,160,161,161,161,160,160,160,161,160,160,160,160,162,161,160,160,160,160,161,161,159,162,161,160,162,160,160,161,161,159,159,160,160,160,159,161,159,162,160,161,159,159,162,159,160,159,160,162,160,158,160,160,160,160,160,160,161,160,160,159,160,160,160,160,161,161,161,158,161,160,161,160,161,160,162,160,160,161,160,162,160,159,161,160,161,159,162,162,161,160,160,159,159,161,160,159,160,160,159,159,160,159,161,161,161,162,160,159,162,161,160,159,159,159,161,161,160,160,160,160,159,161,159,160,158,162,159,162,161,161,161,161,160,161,159,161,161,161,161,160,163,160,160,161,160,160,160,161,160,159,160,160,160,160,160,160,160,159,161,160,160,161,160,161,161,161,160,160,160,162,160,159,160,160,161,160,159,160
315,316,319,319,319,318,319,319,316,318,319,318,316,316,317,315,316,316,317,316,315,314,318,318,315,317,314,316,317,315,317,315,315,316,315,316,315,317,316,314,316,315,316,315,316,313,315,316,316,316,316,316,316,315,318,316,317,318,316,316,316,316,317,316,315,317,315,426,319,318,315,315,315,316,317,316,315,316,316,316,316,315,316,317,315,317,316,317,315,315,317,316,318,315,317,319,319,316,317,315,318,315,315,317,316,316,316,316,316,314,316,317,314,317,316,316,317,315,316,316,314,318,315,315,317,316,315,316,317,317,316,316,317,314,315,315,316,316,318,317,316,315,316,317,315,316,316,316,316,315,316,315,314,316,318,316,316,317,315,316,317,317,314,316,316,316,317,317,315,316,316,317,319,314,318,317,315,315,316,314,319,318,317,316,318,317,317,319,316,318,317,319,318,316,317,316,315,316,317,319,316,316,318,318,317,317,318,317,317,318,318,315,316,316,316,314,316,316,316,315,316,315,316,315,316,317,315,315,317,317,315,314,317,316,315,317,316,316,316,316,316,316,317,317,315,316,315,316,315,316,315,314,315,367,318,316,318,315,316,317,315,316,317,315,315,314,315,316,315,315,314,317,317,315,316,316,314,319,319,317,318,321,319,316,317,315,316,318,315,315,316,315,315,316,316,316,316,319,316,317,315,316,316,315,315,316,315,317,315,314,314,316,317,316,315,317,316,315,314,316,316,316,316,317,317,317,316,316,315,314,318,316,320,315,315,317,318,326,316,315,317,316,316,316,315,315,317,318,315,316,316,317,317,317,314,317,316,317,317,314,317,316,317,316,317,316,314,315,316,318,316,316,316,315,320,317,316,316,318,316,316,316,317,316,317,316,316,316,314,316,315,317,315,315,314,315,315,316,314,314,316,316,314,316,318,316,316,315,318,315,316,316,316,314,315,315,317,315,315,317,317,318,315,317,317,314,313,315,314,315,316,314,317,315,314,318,316,315,316,315,318,316,315,314,315,314,315,315,316,316,316,316,315,315,316,315,317,315,315,316,317,316,315,315,316,316,316,320,319,318,319,319,319,318,317,317,319,317,316,316,316,319,315,315,316,316,316,313,317,317,315,318,316,318,318,317,316,319,317,316,316,314,316,317,316,317,316,317,317,316,316,315,315,316,316,319,317,314,316,314,315,317,315,315,318,316,316,317,316,315,314,316,315,318,316,316,315,316,316,315,316,315,314,316,318,316,318,313,315,316,315,319,316,316,317,315,317,316,315,315,319,319,316,319,319,318,316,317,317,315,315,315,319,316,316,315,316,317,316,316,315,315,318,315,317,316,316,315,316,317,316,315,314,317,315,317,317,316,317,316,318,317,316,318,314,316,315,316,315,316,316,318,316,316,317,316,316,315,318,314,318,315,315,317,317,315,324,315,316,316,315,320,315,318,317,317,318,316,315,316,316,316,315,315,315,315,318,315,316,316,317,317,315,319,318,318,317,316,316,316,316,315,315,316,316,316,319,315,314,315,318,316,316,316,316,315,315,316,317,316,316,316,315,318,316,315,316,315,318,316,316,318,318,316,316,317,314,317,315,315,313,316,316,316,318,315,315,316,317,315,314,317,316,316,316,319,316,316,316,318,316,318,316,315,317,317,315,316,314,316,315,315,316,316,316,315,316,315,316,316,314,316,318,317,317,317,317,320,318,319,317,317,313,319,316,315,315,317,319,317,316,315,316,316,315,318,316,316,317,318,316,315,317,316,315,316,317,316,314,315,315,316,319,316,315,315,316,317,318,316,317,316,316,316,317,315,316,315,316,315,314,316,318,317,316,317,317,316,315,322,316,315,398,316,326,316,316,316,315,317,316,319,316,316,317,317,315,319,314,316,318,317,316,316,317,319,315,313,317,317,320,318,320,317,316,315,316,316,315,316,316,315,314,315,315,316,316,317,315,316,316,315,316,316,316,315,316,316,315,315,315,316,316,315,317,315,315,316,317,316,316,315,316,315,316,316,315,317,315,315,314,316,314,315,315,316,319,315,316,314,316,317,316,316,316,317,317,315,315,315,315,317,316,316,315,315,316,317,315,316,319,316,316,316,314,315,317,316,315,315,316,316,318,319,316,319,319,319,318,319,316,317,318,318,319,319,315,316,319,316,315,319,316,318,317,317,316,318,316,316,318,317,315,317,317,317,317,319,315,316,316,318,316,315,315,317,315,317,317,316,316,318,315,316,316,314,315,317,318,317,316,316,316,316,316,315,317,316,373,318
473,473,476,473,474,475,474,475,475,474,472,474,475,474,473,474,476,476,478,475,476,473,473,475,474,473,475,476,473,473,476,475,474,474,475,473,475,473,476,474,474,475,472,476,474,473,472,473,473,472,474,475,473,474,469,475,475,475,474,475,473,475,472,474,474,473,473,473,474,474,475,474,475,474,473,476,476,474,476,477,476,474,474,472,476,475,478,476,474,476,473,476,473,476,477,476,476,474,476,473,476,476,474,474,474,473,474,475,473,475,474,478,474,474,476,474,473,476,473,474,475,474,472,567,475,472,473,473,468,474,472,474,473,475,475,474,474,472,474,472,475,475,478,476,476,474,475,472,475,476,473,474,476,475,478,478,474,476,475,474,474,473,474,474,473,473,474,476,474,475,475,475,474,473,476,472,472,473,473,473,474,472,473,474,472,475,475,474,476,475,475,474,474,473,483,472,473,473,474,472,472,474,474,477,478,478,474,474,478,475,476,475,474,473,473,473,474,472,475,474,473,473,476,474,473,474,474,471,474,473,471,473,473,474,474,472,472,474,474,475,474,473,473,473,471,477,473,579,476,475,475,475,473,474,475,475,472,473,473,473,474,472,476,474,474,476,477,475,477,479,476,476,480,473,477,474,474,476,473,473,475,472,476,473,474,476,474,473,474,473,473,473,472,471,473,472,474,476,473,472,472,474,473,473,473,471,473,474,483,472,475,473,475,474,473,473,473,472,475,475,473,474,473,471,473,472,473,478,480,479,477,472,477,479,475,475,473,473,471,473,475,473,475,473,474,473,472,473,474,472,474,475,475,473,473,472,474,473,473,473,473,474,474,473,475,474,475,470,473,472,473,472,476,473,475,475,475,473,471,473,472,473,473,473,472,475,473,471,473,475,476,475,475,473,473,474,474,475,473,475,476,474,472,472,475,475,476,473,475,474,473,474,474,474,474,473,473,472,472,474,475,471,475,474,473,474,503,475,474,474,475,473,472,472,476,473,473,473,473,477,472,473,474,473,475,472,474,475,475,476,473,473,476,476,475,472,475,473,477,474,475,472,473,474,472,474,473,473,475,476,473,473,475,472,473,476,475,472,475,474,472,474,473,472,473,473,471,472,472,474,474,474,473,474,472,473,564,477,474,474,472,472,473,475,476,474,475,473,473,477,475,472,483,472,476,476,476,476,476,475,475,475,475,477,474,474,472,474,474,476,474,474,475,472,473,474,475,472,472,471,474,471,474,475,475,475,474,474,474,474,474,472,474,473,474,473,475,473,475,481,474,475,476,474,477,476,476,474,474,474,475,476,475,475,473,473,476,477,477,477,476,475,476,474,477,475,472,475,475,475,476,475,472,476,475,475,474,475,475,475,474,476,472,475,472,472,472,474,472,475,473,473,472,473,474,473,471,475,473,474,548,472,474,476,472,473,473,475,473,476,473,471,474,472,474,472,475,473,474,477,474,476,475,475,474,473,475,474,472,475,472,473,475,473,476,472,473,473,475,474,476,474,473,472,473,472,470,474,473,472,474,475,472,473,473,474,475,472,473,475,474,473,473,476,474,474,473,473,474,473,471,473,472,475,474,472,472,474,475,476,474,476,480,474,473,474,474,475,475,475,474,474,475,476,474,472,474,475,475,474,473,473,472,475,475,473,473,471,473,471,473,472,474,474,474,472,473,474,474,472,472,469,473,473,475,473,472,474,471,472,474,471,473,473,474,473,476,475,475,474,475,474,474,477,476,473,472,474,475,475,474,474,474,473,478,474,476,472,475,472,473,473,473,474,473,474,474,474,472,473,473,475,473,472,473,472,473,474,474,471,473,472,472,473,473,472,473,476,474,476,474,475,473,475,474,472,474,475,474,474,472,474,475,473,470,475,476,477,475,477,474,475,475,475,475,474,476,477,476,479,476,476,474,475,475,474,475,474,474,473,475,475,475,475,474,474,473,474,475,473,474,473,473,475,474,473,473,475,474,580,474,472,475,473,471,476,474,473,475,476,475,475,475,475,473,475,479,478,481,482,480,477,478,476,478,479,477,479,474,477,476,475,474,475,477,476,475,475,477,478,476,476,473,474,477,475,477,476,476,476,477,475,476,476,477,473,478,475,473,476,475,477,478,473,476,476,473,474,476,475,473,473,474,474,475,476,475,474,473,478,478,476,472,474,475,474,474,478,475,475,474,479,476,473,475,475,475,475,473,473,472,477,475,474,475,474,473,474,474,475,474,472,473,473,474,472,475,474,475,475,478,473,473,535,474,474,474,476,475,476
635,637,635,636,636,634,632,635,634,640,636,637,635,636,634,636,635,633,629,634,633,635,632,635,635,636,635,635,634,635,634,635,633,635,634,637,634,634,633,632,635,634,635,634,635,635,633,634,636,635,633,635,631,635,634,637,641,635,633,637,635,636,635,635,633,635,635,633,634,636,633,635,636,634,634,635,635,638,634,635,635,636,636,635,636,633,636,636,638,633,635,636,634,632,631,633,635,635,634,636,632,635,642,636,636,634,637,636,632,636,634,644,635,635,635,635,633,632,635,635,635,637,633,633,637,632,633,634,634,636,635,632,632,634,635,635,634,634,635,635,635,634,636,634,633,635,634,637,637,640,637,638,637,635,638,638,635,634,640,633,635,636,634,634,637,636,636,636,633,632,637,633,635,635,631,633,634,636,635,635,635,639,635,636,635,637,634,634,635,635,634,637,632,635,642,639,637,635,636,635,639,636,635,637,638,634,632,637,637,638,635,635,636,632,637,635,634,634,637,635,632,635,634,634,635,635,635,636,634,637,637,635,635,639,634,635,636,633,632,636,633,639,638,632,634,636,636,637,633,635,633,635,635,634,633,633,635,632,638,632,635,635,638,635,633,635,635,635,635,635,634,635,632,739,635,634,634,634,635,632,635,637,633,634,634,633,636,640,638,635,633,634,638,634,632,635,632,635,635,637,638,634,636,631,634,636,633,634,630,635,633,632,635,633,635,633,635,635,634,633,638,632,635,633,633,634,635,637,635,634,636,636,634,637,640,637,639,635,636,637,636,634,635,633,634,634,640,636,632,637,636,633,635,633,635,636,635,635,636,633,632,634,633,636,632,635,752,634,636,634,635,635,636,632,635,632,635,636,635,634,644,642,641,636,637,637,640,635,634,632,635,632,635,633,634,635,635,636,632,634,633,635,635,635,632,633,635,634,637,636,633,632,636,636,633,634,631,633,633,632,634,632,635,633,633,632,638,641,636,635,634,638,634,633,635,633,634,637,634,633,635,634,636,634,636,631,635,637,637,636,636,636,637,635,635,634,633,633,636,735,633,634,635,633,633,634,635,633,633,634,633,638,635,639,638,635,633,637,635,635,634,633,635,634,633,635,635,636,636,634,633,634,635,635,633,635,633,632,636,636,631,636,633,635,635,632,635,633,635,633,635,632,629,633,636,635,634,635,634,640,639,634,635,633,635,635,634,635,633,633,637,634,635,634,634,636,636,633,634,636,637,635,635,633,632,638,635,634,635,634,634,632,637,632,633,632,636,633,636,636,634,633,634,635,637,636,636,636,636,633,633,634,634,633,633,634,634,636,635,633,635,634,637,637,633,633,641,633,633,636,638,636,634,636,634,634,632,636,636,639,636,633,634,632,633,634,633,635,635,634,633,635,643,639,636,638,637,637,636,635,632,634,634,637,633,635,635,636,635,636,635,634,631,633,636,633,632,634,637,637,635,636,633,636,635,640,635,634,638,636,633,635,633,635,633,635,635,633,639,640,637,633,635,635,634,634,636,635,635,634,635,635,635,635,635,635,635,632,634,634,632,630,632,636,632,636,634,635,633,634,634,634,635,636,638,633,632,636,635,634,631,633,632,635,635,639,633,633,633,632,630,634,634,633,633,633,634,635,635,632,633,633,637,635,635,636,634,638,634,634,636,636,633,632,635,635,632,634,632,634,633,635,633,634,633,632,634,636,636,635,635,638,638,635,633,634,636,633,637,634,635,636,635,633,637,633,635,635,634,633,634,632,633,635,633,635,635,635,634,632,633,633,635,632,639,634,631,635,632,632,632,631,634,631,631,635,631,634,638,636,632,634,634,632,635,634,633,634,635,630,632,632,632,630,632,634,630,632,635,634,632,634,635,634,644,635,633,634,633,632,692,633,635,632,628,631,633,636,633,634,631,630,634,633,639,636,638,639,636,639,635,635,634,634,634,634,632,632,638,634,634,635,632,632,634,632,633,635,633,634,634,632,634,632,632,631,631,636,631,633,635,632,633,633,632,632,632,634,631,633,635,637,635,633,634,634,634,635,632,633,634,631,631,632,633,632,633,635,637,632,633,632,633,634,634,634,633,635,633,632,632,633,636,727,633,633,633,631,630,634,632,635,634,635,636,632,633,640,639,633,635,635,633,635,635,632,634,633,631,633,635,633,634,631,633,635,634,633,635,634,636,632,632,635,632,634,630,632,632,632,635,635,632,635,633,633,639,636,635,635,632,632,635,636,641,638,635,632,634,636,635,632,631,633,632,634,634,635,632,632
798,796,799,794,796,795,796,795,798,797,798,795,796,907,798,796,792,794,797,793,797,794,796,799,804,802,798,798,799,796,795,796,795,794,794,796,795,798,796,796,793,797,797,794,798,797,796,802,794,804,797,796,795,799,796,793,794,798,797,794,797,806,799,806,798,795,796,795,796,797,795,794,796,794,796,796,800,796,798,796,796,793,795,795,794,796,794,892,799,798,797,796,797,798,798,797,795,796,803,801,796,796,796,795,798,799,797,796,795,799,796,800,797,796,798,799,795,799,797,796,794,799,795,794,803,794,794,796,796,797,796,796,794,797,797,806,803,802,799,801,800,803,796,798,800,801,799,799,800,801,799,796,795,796,797,796,796,799,797,798,799,800,797,797,796,801,796,798,796,799,798,800,804,799,800,796,797,798,796,796,798,797,799,798,799,793,796,796,797,798,796,796,797,796,797,797,799,795,797,794,797,796,796,796,796,797,794,793,795,803,802,799,796,799,799,796,797,795,797,798,795,797,800,797,796,796,793,798,798,799,798,798,797,797,792,802,795,796,795,795,796,794,796,793,799,797,804,803,800,800,799,797,798,796,798,795,798,795,798,796,799,798,800,801,799,798,799,797,798,799,801,795,801,797,793,796,795,797,797,799,797,796,801,800,800,795,796,796,798,795,798,797,797,794,797,795,796,800,799,799,798,797,796,796,795,795,796,795,796,800,798,796,796,795,798,795,795,795,796,799,801,799,797,794,800,798,800,797,798,799,795,797,798,796,797,798,797,798,796,794,796,800,795,794,795,797,795,800,800,796,796,797,796,796,798,798,801,804,794,800,799,799,796,795,797,795,798,798,797,796,797,795,798,795,796,795,793,798,797,795,796,795,796,797,798,798,798,796,798,797,797,796,798,800,806,801,801,799,800,797,799,798,799,798,798,795,796,797,797,796,799,799,797,798,800,798,798,798,796,796,802,797,797,797,795,795,798,796,797,798,801,803,803,803,800,800,800,799,795,797,799,796,3148,3273,3276,3206,3218,3273,3275,3208,3217,3207,3274,3271,3345,3269,3277,3210,3274,3279,3279,3273,3282,3202,3207,3204,3277,3207,3200,3205,3272,3265,3214,3198,3284,3266,3277,3273,3267,3202,3274,3203,3267,3201,3354,3284,3272,3205,3271,3275,3357,3209,3266,3215,3271,3271,3280,3271,3202,3273,3344,3271,3206,3274,3276,3265,3211,3278,3276,3277,3345,3278,3277,3188,3200,3214,3272,3202,3200,3212,3212,3206,3210,3204,3213,3200,3209,3202,3278,3202,3278,3211,3268,3277,3273,3210,3284,3203,3276,3275,3206,3209,3273,3272,3275,3205,3265,3204,3200,3271,3197,3273,3205,3276,3527,3271,3201,3202,3290,3267,3270,3278,3280,3265,3214,3280,3284,3266,3220,3277,3274,3283,3833,3208,3213,3204,3206,3346,3204,3197,3208,3277,3211,3274,3347,3275,3208,3274,3205,3279,3759,3204,3208,3267,3206,3279,3276,3276,3273,3206,3288,3206,3273,3276,3285,3278,3211,3213,3833,3216,3216,3211,3274,3128,3212,3205,3270,3211,3269,3207,3271,3278,3282,3269,3279,3197,3759,3274,3216,3333,3276,3277,3275,3351,3271,3279,3279,3215,3271,3278,3283,3277,3282,3263,3754,3281,3211,3288,3210,3267,3213,3205,3202,3275,3213,3276,3280,3273,3212,3197,3267,3207,3450,3272,3266,3221,3277,3276,3284,3278,3213,3347,3200,3209,3288,3275,3212,3281,3207,3273,3593,3279,3280,3278,3275,3197,3197,3208,3209,3207,3212,3274,3275,3282,3206,3277,3213,3279,3280,3271,3276,3209,3275,3209,3266,3276,3207,3280,3270,3272,3281,3280,3278,3269,3281,3272,3280,3266,3212,3288,3280,3275,3275,3271,3279,3341,3342,3206,3280,3127,3193,2721,3040,3196,3273,3596,3215,3272,3276,3221,3286,3215,3205,3208,3285,3273,3210,3283,3210,3121,3273,3197,3212,3772,3203,3222,3271,3205,3205,3198,3202,3199,3271,3199,3202,3201,3207,3208,3207,3275,3196,3759,3276,3272,3207,3273,3204,3265,3209,3265,3203,3262,3204,3343,3210,3272,3209,3276,3218,3838,3276,3268,3274,3342,3210,3275,3215,3281,3273,3268,3210,3205,3266,3215,3203,3272,3203,3761,3282,3284,3273,3275,3283,3206,3216,3286,3342,3277,3278,3283,3198,3206,3206,3211,3196,3772,3255,3208,3277,3212,3207,3265,3197,3275,3206,3263,3266,3275,3211,3213,3200,3275,3278,3532,3279,3276,3351,3199,3213,3286,3213,3277,3278,3202,3276,3276,3268,3208,3213,3275,3210,3445,3200,3276,3274,3206,3212,3278,3273,3277,3277,3281,3275,3128,3278,3201,3275,3283,3273,3278,3218,3269,3274,3280,3343,3279,3277,3211,3202,3276,3276,3211,3276,3265,3274,3273,3205,3212,3272,3210,3279,3287,3204,3201,3197,3268,3274,3274,3205,3278,3275,3208,3284,3264,3277,3208,3208,3281,3272,3278,3270,3278,3273,3204,3208,3203,3263,3276,3276,3277,3273,3203,3275,3205,3204,3203,3285,3277,3204,3285,3267,3209,3280,3272,3275,3204,3266,3275,3217,3265,3212,3277,3217,3269,3270,3268,3209,3138,3273,3206,3271,3198,3202,3282,3271,3204,3267,3267,3214,3215,3275,3205,3287,3281,3276,3268,3202,3273,3271,3270,3210,3275,3206,3208,3276,3278,3201,3201,3282,3267,3270,3278,3279,3271,3273,3137,3277,3205,3276,3205
